Project Date (IST),URL,Test Device,Performance
2024-02-29 18:02:40,https://www.joinelevatenow.com/pp/easy-weight-loss/menperformance/,mobile,81.0
2024-02-29 18:03:09,https://www.joinelevatenow.com/pp/easy-weight-loss/menperformance/,desktop,88.0
2024-02-29 18:03:36,https://www.joinelevatenow.com/pp/easy-weight-loss-v2/menperformance/,mobile,68.0
2024-02-29 18:04:02,https://www.joinelevatenow.com/pp/easy-weight-loss-v2/menperformance/,desktop,86.0
2024-02-29 18:04:26,https://www.joinelevatenow.com/pp/best-weight-loss/,mobile,77.0
2024-02-29 18:04:51,https://www.joinelevatenow.com/pp/best-weight-loss/,desktop,87.0
2024-02-29 18:05:18,https://www.joinelevatenow.com/pp/guaranteed-weight-loss/,mobile,91.0
2024-02-29 18:05:45,https://www.joinelevatenow.com/pp/guaranteed-weight-loss/,desktop,87.0
2024-02-29 18:06:09,https://www.joinelevatenow.com/pp/get-fitter-today/,mobile,78.0
2024-02-29 18:06:34,https://www.joinelevatenow.com/pp/get-fitter-today/,desktop,88.0
2024-02-29 18:07:00,https://www.joinelevatenow.com/pp/lose-weight/,mobile,91.0
2024-02-29 18:07:21,https://www.joinelevatenow.com/pp/lose-weight/,desktop,88.0
2024-02-29 18:42:48,https://www.joinelevatenow.com/pp/easy-weight-loss/menperformance/,mobile,81.0
2024-02-29 18:43:10,https://www.joinelevatenow.com/pp/easy-weight-loss/menperformance/,desktop,89.0
2024-02-29 18:43:34,https://www.joinelevatenow.com/pp/easy-weight-loss-v2/menperformance/,mobile,87.0
2024-02-29 18:43:57,https://www.joinelevatenow.com/pp/easy-weight-loss-v2/menperformance/,desktop,85.0
2024-02-29 18:44:20,https://www.joinelevatenow.com/pp/best-weight-loss/,mobile,77.0
2024-02-29 18:44:46,https://www.joinelevatenow.com/pp/best-weight-loss/,desktop,88.0
2024-02-29 18:45:16,https://www.joinelevatenow.com/pp/guaranteed-weight-loss/,mobile,92.0
2024-02-29 18:45:41,https://www.joinelevatenow.com/pp/guaranteed-weight-loss/,desktop,88.0
